name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	group	description	status	status_description
G01	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G02	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G03	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G04	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	bad	outofrange
G05	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G06	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G07	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G08	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G09	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G10	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G11	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G12	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G13	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G14	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G15	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G16	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G17	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G18	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G19	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G20	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G21	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G22	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G23	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G24	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G25	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G26	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G27	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G28	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G29	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G30	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G31	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G32	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G33	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G34	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G35	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G36	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G37	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G38	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G39	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G40	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G41	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G42	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G43	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G44	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G45	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G46	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G47	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G48	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G49	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G50	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G51	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G52	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G53	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G54	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G55	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G56	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G57	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G58	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G59	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G60	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G61	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G62	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G63	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
G64	ECOG	microV	500	0.15	512	n/a	car	grid	n/a	good	n/a
LAT01	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	bad	outofrange
LAT02	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	bad	outofrange
LAT03	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LAT04	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LPT01	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LPT02	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	bad	outofrange
LPT03	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LPT04	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LOF01	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LOF02	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LOF03	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LOF04	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LO01	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LO02	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LO03	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LO04	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LO05	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LO06	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LO07	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
LO08	ECOG	microV	500	0.15	512	n/a	car	strip	n/a	good	n/a
DAM01	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DAM02	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DAM03	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DAM04	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	bad	outofrange
DAM05	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DAM06	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DAM07	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DAM08	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DL01	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DL02	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DL03	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DL04	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DL05	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DL06	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DL07	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DL08	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPM01	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPM02	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPM03	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPM04	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPM05	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPM06	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPM07	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPM08	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DAI01	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DAI02	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DAI03	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DAI04	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPI01	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPI02	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPI03	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
DPI04	SEEG	microV	500	0.15	512	n/a	car	depth	n/a	good	n/a
LSG1	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	outofrange
LSG2	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	outofrange
LSG3	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	outofrange
LSG4	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	outofrange
LSG5	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	outofrange
LSG6	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	outofrange
EKG1	ECG	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
EKG2	ECG	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DC1	TRIG	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DC2	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DC3	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DC4	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
DC5	OTHER	microV	500	0.15	512	n/a	n/a	n/a	n/a	bad	n/a
